                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.63664,                0.40759,                0.92876,                0.99556,                      1,                  0.995,                 0.9393,                0.39123,                0.26902,                0.80312,              0.0006008,              0.0006008,              0.0006008
                     56,                0.60308,                0.46851,                0.93155,                0.99562,                      1,                  0.995,                 0.9498,                0.37543,                0.29576,                0.79551,              0.0005744,              0.0005744,              0.0005744
                     57,                0.51669,                0.39375,                 0.8741,                0.99566,                      1,                  0.995,                0.92314,                0.37131,                0.27331,                0.78347,               0.000548,               0.000548,               0.000548
                     58,                0.63481,                0.38624,                 1.0023,                0.99562,                      1,                  0.995,                0.93724,                0.35286,                  0.262,                0.77407,              0.0005216,              0.0005216,              0.0005216
                     59,                0.48967,                 0.4417,                0.87272,                0.99551,                      1,                  0.995,                0.93562,                 0.3484,                0.25517,                0.77095,              0.0004952,              0.0004952,              0.0004952
                     60,                0.58008,                 0.3862,                0.87693,                0.99549,                      1,                  0.995,                0.94919,                0.37556,                0.26891,                0.78125,              0.0004688,              0.0004688,              0.0004688
                     61,                 0.5998,                0.40089,                0.98924,                0.99554,                      1,                  0.995,                0.93008,                0.42656,                0.27592,                0.81041,              0.0004424,              0.0004424,              0.0004424
                     62,                0.62704,                0.47987,                0.95259,                0.99551,                      1,                  0.995,                0.93027,                0.41387,                0.27295,                0.80426,               0.000416,               0.000416,               0.000416
                     63,                0.51569,                0.37833,                0.93512,                0.99549,                      1,                  0.995,                0.94586,                0.38416,                0.28308,                0.78727,              0.0003896,              0.0003896,              0.0003896
                     64,                0.56116,                0.40439,                0.94372,                0.99553,                      1,                  0.995,                0.94568,                0.37812,                0.28252,                 0.7811,              0.0003632,              0.0003632,              0.0003632
                     65,                0.67999,                0.42198,                 1.0355,                0.99559,                      1,                  0.995,                0.95454,                0.37698,                0.28315,                0.77618,              0.0003368,              0.0003368,              0.0003368
                     66,                0.50752,                 0.3612,                0.91138,                0.99551,                      1,                  0.995,                0.93837,                0.37901,                  0.292,                0.77707,              0.0003104,              0.0003104,              0.0003104
                     67,                0.49292,                0.31044,                0.86825,                0.99545,                      1,                  0.995,                0.90648,                0.40661,                0.32426,                0.79799,               0.000284,               0.000284,               0.000284
                     68,                 0.3966,                0.30212,                0.81486,                0.99548,                      1,                  0.995,                0.89931,                0.44278,                0.33208,                  0.826,              0.0002576,              0.0002576,              0.0002576
                     69,                0.49094,                0.33148,                0.84117,                0.99554,                      1,                  0.995,                0.90317,                0.45098,                0.31829,                0.83045,              0.0002312,              0.0002312,              0.0002312
                     70,                0.47456,                 0.3095,                0.86622,                0.99558,                      1,                  0.995,                0.90669,                 0.4165,                0.29561,                0.81099,              0.0002048,              0.0002048,              0.0002048
                     71,                0.42346,                0.31021,                0.83301,                0.99561,                      1,                  0.995,                0.93851,                 0.3815,                0.28885,                0.79335,              0.0001784,              0.0001784,              0.0001784
                     72,                0.46432,                0.31131,                 0.9259,                0.99559,                      1,                  0.995,                0.94439,                0.36059,                0.28261,                0.78511,               0.000152,               0.000152,               0.000152
                     73,                0.47978,                0.29466,                0.83008,                 0.9956,                      1,                  0.995,                0.94439,                0.36487,                0.26935,                0.78471,              0.0001256,              0.0001256,              0.0001256
                     74,                0.51831,                0.30905,                0.82983,                0.99558,                      1,                  0.995,                0.94684,                0.37356,                0.25929,                 0.7856,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.42833,                0.29023,                0.87848,                 0.9955,                      1,                  0.995,                0.94573,                 0.3795,                0.25666,                0.78523,               7.28e-05,               7.28e-05,               7.28e-05
